Организация;Год;Фамилия и инициалы лица, чьи сведения размещаются;Владелец;Должность;вид объекта;вид собственности;площадь (кв. м);страна расположения;вид объекта;площадь (кв. м);страна расположения;Транспортные средства (вид, марка);Декларированный годовой доход <1> (руб.);Сведения об источниках получения средств, за счет которых совершена сделка <2> (вид приобретенного имущества, источники)
"депутаты Государственного Совета Республики Коми";"2016";"Лейфрид Александр Викторович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"117";"Россия";"-";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Макаренко Александр Петрович";"";"депутат";"земельный участок";"индивидуальная";"1418";"Россия";"-";"-";"-";"-";"11751101.539999999";""
"депутаты Государственного Совета Республики Коми";"2016";"Макаренко Александр Петрович";"";"";"квартира";"индивидуальная";"282.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Макаренко Александр Петрович";"";"";"квартира";"индивидуальная";"50.3";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Макаренко Александр Петрович";"";"";"нежилое помещение";"общая долевая (3/4 доли)";"415.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Макаренко Александр Петрович";"";"";"нежилое помещение";"индивидуальная";"1589.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Михайлов Олег Алексеевич";"";"депутат";"квартира";"общая долевая (1/2 доли)";"54";"Россия";"квартира";"41.2";"Россия";"автомобиль легковой Рено Сандеро";"1396648.42";""
"депутаты Государственного Совета Республики Коми";"2016";"Михайлов Олег Алексеевич";"";"";"";"";"";"";"земельный участок";"1516";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Михайлов Олег Алексеевич";"Супруга";"";"-";"-";"-";"-";"квартира";"53.1";"Россия";"автомобиль легковой Ниссан Qashqai";"615657.43999999994";""
"депутаты Государственного Совета Республики Коми";"2016";"Михайлов Олег Алексеевич";"Супруга";"";"";"";"";"";"квартира";"41.2";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Михайлов Олег Алексеевич";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"41.2";"Россия";"";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Нестерова Нина Александровна";"";"депутат";"земельный участок";"индивидуальная";"600";"Россия";"-";"-";"-";"автомобиль легковой KIA SERATO";"2713473.71";""
"депутаты Государственного Совета Республики Коми";"2016";"Нестерова Нина Александровна";"";"";"земельный участок";"индивидуальная";"786";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Нестерова Нина Александровна";"";"";"жилой дом";"индивидуальная";"98";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Нестерова Нина Александровна";"";"";"квартира";"индивидуальная";"66.599999999999994";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Нестерова Нина Александровна";"";"";"квартира";"общая долевая (1/4 доли)";"44.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Нестерова Нина Александровна";"Супруг";"";"квартира";"общая долевая (1/2 доли)";"60";"Россия";"квартира";"66.599999999999994";"Россия";"";"250511.99";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"";"депутат";"Земельный участок";"общая долевая (1/2 доли)";"2577";"Россия";"квартира";"61.3";"Россия";"";"4043244.04";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"";"";"жилой дом";"индивидуальная";"110.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"";"";"баня";"индивидуальная";"24.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"";"";"квартира";"индивидуальная";"30.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"";"";"квартира";"индивидуальная";"37.200000000000003";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"Супруг";"";"квартира";"общая долевая (1/2 доли)";"61.3";"Россия";"-";"-";"-";"автомобиль легковой Subaru Forester";"995572.44";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"Супруг";"";"гараж";"индивидуальная";"23.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Паншина Наталья Николаевна";"Супруг";"";"машиноместо";"индивидуальная";"27";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Поляхов Виктор Павлович";"";"депутат";"квартира";"индивидуальная";"69.099999999999994";"Россия";"-";"-";"-";"";"3282473.72";""
"депутаты Государственного Совета Республики Коми";"2016";"Поляхов Виктор Павлович";"";"";"квартира";"индивидуальная";"27.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Поляхов Виктор Павлович";"";"";"квартира";"индивидуальная";"42.7";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Поляхов Виктор Павлович";"Несовершеннолетний ребенок";"";"квартира";"общая долевая (19/25 доли)";"47";"Россия";"квартира";"53.4";"Россия";"-";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Прокопчик Елена Николаевна";"";"депутат";"квартира";"индивидуальная";"45.8";"Россия";"-";"-";"-";"-";"1369786.63";""
"депутаты Государственного Совета Республики Коми";"2016";"Руденко Екатерина Тарасовна";"";"депутат";"квартира";"общая долевая (1/5 доли)";"63.8";"Россия";"-";"-";"-";"-";"597386.84";""
"депутаты Государственного Совета Республики Коми";"2016";"Руденко Екатерина Тарасовна";"Супруг";"";"квартира";"общая долевая (1/5 доли)";"63.8";"Россия";"-";"-";"-";"-";"238695.27";""
"депутаты Государственного Совета Республики Коми";"2016";"Руденко Екатерина Тарасовна";"Супруг";"";"гараж";"индивидуальная";"18";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Руденко Екатерина Тарасовна";"Несовершеннолетний ребенок";"";"квартира";"общая долевая (1/5 доли)";"63.8";"Россия";"-";"-";"-";"-";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"";"депутат";"земельный участок";"индивидуальная";"1000";"Россия";"жилой дом";"301.89999999999998";"Россия";"автомобиль легковой ВАЗ 21043";"1818191.59";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"";"";"земельный участок";"индивидуальная";"1000";"Россия";"";"";"";"автомобиль легковой Mitsubishi Colt 1,3";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"Супруг";"";"земельный участок";"индивидуальная";"2000";"Россия";"-";"-";"-";"автомобиль грузовой ГАЗ 2752";"227794.5";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"Супруг";"";"земельный участок";"индивидуальная";"1087";"Россия";"";"";"";"автомобиль грузовой ГАЗ 2705";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"Супруг";"";"земельный участок";"индивидуальная";"601";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"Супруг";"";"жилой дом";"индивидуальная";"301.89999999999998";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"Супруг";"";"нежилое помещение";"индивидуальная";"292";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Саладина Татьяна Алексеевна";"Супруг";"";"нежилое помещение";"индивидуальная";"220";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"";"депутат";"квартира";"общая долевая (1/3 доли)";"88.7";"Россия";"квартира";"127.6";"Россия";"автомобиль легковой Ssanyong Kyron 161951";"2676102.5499999998";""
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"";"";"квартира";"общая долевая (1/3 доли)";"58.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"";"";"гараж";"индивидуальная";"29.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"";"";"нежилое помещение";"общая долевая (1/2 доли)";"9.8000000000000007";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"Супруга";"";"квартира";"общая долевая (1/3 доли)";"88.7";"Россия";"квартира";"127.6";"Россия";"";"261671.64";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"Супруга";"";"квартира";"общая долевая (1/3 доли)";"58.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Смалий Василий Михайлович";"Супруга";"";"нежилое помещение";"общая долевая (1/2 доли)";"9.8000000000000007";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Терентьев Игорь Яковлевич";"";"депутат";"земельный участок";"индивидуальная";"860";"Россия";"-";"-";"-";"иное транспортное средство автоприцеп МЗСА 81770";"2331081.5";""
"депутаты Государственного Совета Республики Коми";"2016";"Терентьев Игорь Яковлевич";"";"";"квартира";"индивидуальная";"249.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Терехова Валентина Ивановна";"";"депутат";"квартира";"индивидуальная";"52.3";"Россия";"-";"-";"-";"-";"765000.79";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"";"депутат";"жилой";"индивидуальная";"446";"Россия";"земельный участок";"823";"Россия";"";"3605525.11";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"";"";"квартира";"индивидуальная";"126.1";"Россия";"земельный участок";"1150";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"";"";"гараж";"индивидуальная";"17.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"";"";"подземная автостоянка";"общая долевая (1/29 доли)";"779.9";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"Супруга";"";"квартира";"индивидуальная";"38.200000000000003";"Россия";"-";"-";"-";"";"3150499.43";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"Супруга";"";"квартира";"долевая (8/10 доли)";"289.7";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"Несовершеннолетний ребенок";"";"квартира";"долевая (1/10 доли)";"289.7";"Россия";"квартира";"126.1";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"Несовершеннолетний ребенок";"";"квартира";"долевая (1/10 доли)";"289.7";"Россия";"квартира";"126.1";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Чураков Степан Викторович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"126.1";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"депутат";"земельный участок";"индивидуальная";"47496";"Россия";"квартира";"114.7";"Россия";"-";"23675761.52";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"земельный участок";"индивидуальная";"1230.0999999999999";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"здание конторы";"индивидуальная";"366.9";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"площадка бетонная асфальтовая";"индивидуальная";"37793";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"пароразда-";"индивидуальная";"49.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"автозаправка";"индивидуальная";"64.599999999999994";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"производственное здание";"индивидуальная";"628.20000000000005";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"производственное здание";"индивидуальная";"-";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"нежилое помещение";"индивидуальная";"284.39999999999998";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"производственное здание";"индивидуальная";"2142.6999999999998";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"нежилое помещение";"индивидуальная";"48";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"нежилое помещение";"индивидуальная";"1289.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"нежилое помещение";"индивидуальная";"37.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"профилакторий";"индивидуальная";"4725.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"";"";"";"";"";"";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"Супруга";"";"квартира";"индивидуальная";"43.2";"Россия";"Квартира";"114.7";"Россия";"-";"237398.44";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"114.7";"Россия";"-";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Шиманский Игорь Витальевич";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"114.7";"Россия";"-";"-";""
"Министры Республики Коми";"2016";"Максимова Лариса Владимировна";"";"Первый заместитель Председателя Правительства Республики Коми";"-";"-";"-";"-";"Квартира";"86.8";"Россия";"";"4926706.58";""
"Министры Республики Коми";"2016";"Максимова Лариса Владимировна";"";"";"";"";"";"";"Квартира";"104.7";"Россия";"";"";""
"Министры Республики Коми";"2016";"Максимова Лариса Владимировна";"Супруг";"";"Квартира";"Индивидуальная";"86.8";"Россия";"Квартира";"104.7";"Россия";"Автомобиль легковой (индивидуальная собственность) Honda CRV";"2642520.46";""
"Министры Республики Коми";"2016";"Лазарев Константин Григорьевич";"";"заместитель Председателя Правительства Республики Коми - министр строительства, тарифов, жилищно-коммунального и дорожного хозяйства Республики Коми";"Земельный участок";"Индивидуальная";"5078";"Россия";"Квартира";"93.7";"Россия";"Автомобиль легковой (индивидуальная собственность) Фольксваген поло";"6019059.04";""
"Министры Республики Коми";"2016";"Лазарев Константин Григорьевич";"";"";"Земельный участок";"Индивидуальная";"1500";"Россия";"Квартира";"57.2";"Россия";"";"";""
"Министры Республики Коми";"2016";"Лазарев Константин Григорьевич";"";"";"Квартира";"Индивидуальная";"47.3";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Лазарев Константин Григорьевич";"";"";"Квартира";"Совместная";"60.31";"Литва";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Лазарев Константин Григорьевич";"";"";"Машиноместо";"Индивидуальная";"15.2";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Лазарев Константин Григорьевич";"Супруга";"";"Квартира";"Совместная";"60.31";"Литва";"Квартира";"47.3";"Россия";"Автомобиль легковой (индивидуальная собственность) MERCEDES-BENZ GLK 300 4MATIC";"7500000";""
"Министры Республики Коми";"2016";"Герасимов Николай Николаевич";"";"заместитель Председателя Правительства Республики Коми - министр промышленности, природных ресурсов, энергетики и транспорта Республики Коми";"Земельный участок";"Индивидуальная";"1780";"Россия";"Квартира";"141.19999999999999";"Россия";"";"4315993.21";"-"
"Министры Республики Коми";"2016";"Герасимов Николай Николаевич";"";"";"Земельный участок";"Индивидуальная";"1450";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Герасимов Николай Николаевич";"";"";"Гараж";"Индивидуальная";"24.4";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Герасимов Николай Николаевич";"Супруга";"";"Квартира";"Индивидуальная";"141.19999999999999";"Россия";"-";"-";"-";"Автомобиль легковой (индивидуальная собственность) Toyota Land Cruiser 120";"5663328.4699999997";""
"Министры Республики Коми";"2016";"Герасимов Николай Николаевич";"Супруга";"";"Квартира";"Индивидуальная";"97.2";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Герасимов Николай Николаевич";"Супруга";"";"Нежилое помещение";"Долевая, 1/2";"143.9";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Князев Анатолий Пантелеймонович";"";"заместитель Председателя Правительства Республики Коми - министр сельского хозяйства и потребительского рынка Республики Коми";"Земельная доля";"Индивидуальная";"32600";"Россия";"Квартира";"51.5";"Россия";"Автомобиль легковой (индивидуальная собственность) УАЗ-315194";"2465808.16";""
"Министры Республики Коми";"2016";"Князев Анатолий Пантелеймонович";"";"";"Земельный участок";"Индивидуальная";"1572";"Россия";"";"";"";"Прицеп (индивидуальная собственность) МЗСА-817710";"";""
"Министры Республики Коми";"2016";"Князев Анатолий Пантелеймонович";"";"";"Квартира";"Индивидуальная";"66.400000000000006";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Князев Анатолий Пантелеймонович";"Супруга";"";"Квартира";"Долевая,1/2";"105,4 49,8";"Россия Россия";"Квартира";"66.400000000000006";"Россия";"";"128158.8";""
"Министры Республики Коми";"2016";"Князев Анатолий Пантелеймонович";"Супруга";"";"Квартира";"Долевая, 1/3";"";"";"Квартира";"51.5";"Россия";"";"";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"";"заместитель Председателя Правительства Республики Коми - постоянный представитель Республики Коми при Президенте Российской Федерации";"Квартира";"Совместная";"67.5";"Россия";"-";"-";"-";"Автомобиль легковой (индивидуальная собственность) VOLKSWAGEN MULTIVAN";"3635918.2";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"";"";"гараж";"идивидуальная";"18.600000000000001";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"Супруга";"";"Земельный участок";"Индивидуальная";"1180";"Россия";"-";"-";"-";"";"146400";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"Супруга";"";"Земельный участок";"Индивидуальная";"1179";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"Супруга";"";"Жилой дом";"Индивидуальная";"582.20000000000005";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"Супруга";"";"Квартира";"Совместная";"67.5";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"Супруга";"";"Гараж";"Индивидуальная";"22.2";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Саришвили Григорий Наскидович";"Несовершеннолетний ребенок";"";"Квартира";"Индивидуальная";"56.6";"Россия";"Квартира";"67.5";"Россия";"";"-";""
"Министры Республики Коми";"2016";"Михальченкова Наталья Алексеевна";"";"заместитель Председателя Правительства Республики Коми - министр образования, науки и молодежной политики Республики Коми";"Квартира";"Индивидуальная";"104.4";"Россия";"Квартира";"165.7";"Россия";"";"8100053.3499999996";""
"Министры Республики Коми";"2016";"Михальченкова Наталья Алексеевна";"Супруг";"";"Квартира";"Долевая,1/2";"36.5";"Россия Россия";"-";"-";"-";"Автомобиль легковой (индивидуальная собственность) Toyota Highlander";"2975003.64";""
"Министры Республики Коми";"2016";"Михальченкова Наталья Алексеевна";"Супруг";"";"Квартира";"Долевая, 7/8";"165.7";"";"";"";"";"Автомобиль легковой (индивидуальная собственность) Skoda Fabia";"";""
"Министры Республики Коми";"2016";"Михальченкова Наталья Алексеевна";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"165.7";"Россия";"";"-";""
"Министры Республики Коми";"2016";"Михальченкова Наталья Алексеевна";"Несовершеннолетний ребенок";"";"Квартира";"Долевая,1/2";"36.5";"Россия";"-";"-";"-";"";"1616666";""
"Министры Республики Коми";"2016";"Михальченкова Наталья Алексеевна";"Несовершеннолетний ребенок";"";"Квартира";"Долевая, 1/8";"165.7";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Яндиев Джамал-Лейла Джабраилович";"";"заместитель Председателя Правительства Республики Коми, специальный представитель Республики Коми";"-";"-";"-";"-";"Квартира";"137.9";"Россия";"";"185365.76000000001";""
"Министры Республики Коми";"2016";"Анисимова Марина Владимировна";"";"министр экономики Республики Коми";"Квартира";"Долевая, ¼";"130";"Россия";"Квартира";"47.3";"Россия";"";"718956.96";""
"Министры Республики Коми";"2016";"Анисимова Марина Владимировна";"";"";"квартира";"Индивидуальная";"87.9";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бережной Николай Михайлович";"";"министр физической культуры и спорта Республики Коми";"Квартира";"Долевая, 1/5";"59.6";"Россия";"-";"-";"-";"";"2463456.35";""
"Министры Республики Коми";"2016";"Бережной Николай Михайлович";"Супруга";"";"Квартира";"Долевая, 1/5";"59.6";"Россия";"-";"-";"-";"";"916947.37";""
"Министры Республики Коми";"2016";"Березин Дмитрий Борисович";"";"министр здравоохранения Республики Коми";"Квартира";"Долевая, 1/5";"63.3";"Россия";"Квартира";"51.8";"Россия";"";"2617592.89";""
"Министры Республики Коми";"2016";"Березин Дмитрий Борисович";"Супруга";"";"Квартира";"Долевая, 3/10";"63.3";"Россия";"-";"-";"-";"";"1238293.9099999999";""
"Министры Республики Коми";"2016";"Березин Дмитрий Борисович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"63.3";"Россия";"-";"-";""
"Министры Республики Коми";"2016";"Березин Дмитрий Борисович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"63.3";"Россия";"-";"-";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"";"Уполномоченный по защите прав предпринимателей в Республике Коми";"Квартира";"Индивидуальная";"112.5";"Россия";"-";"-";"-";"-";"3524044.88";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"";"";"Квартира";"Индивидуальная";"79.900000000000006";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"";"";"Квартира";"Индивидуальная";"50.4";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"";"";"Гараж";"Индивидуальная";"19.899999999999999";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"";"";"Гараж";"Индивидуальная";"19.600000000000001";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"Супруга";"";"Квартира";"Индивидуальная";"75.2";"Россия";"Квартира";"112.5";"Россия";"";"3443563.61";"-"
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"Супруга";"";"Квартира";"Индивидуальная";"77.7";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"Супруга";"";"Гараж";"Индивидуальная";"20.2";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"Супруга";"";"Гараж";"Индивидуальная";"20.3";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"Супруга";"";"Нежилое помещение";"Индивидуальная";"54.6";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бобков Игорь Янович";"Супруга";"";"Нежилое помещение";"Индивидуальная";"45";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бурцев Александр Александрович";"";"председатель Комитета Республики Коми гражданской обороны и чрезвычайных ситуаций";"Квартира";"Долевая, 1/3";"69.400000000000006";"Россия";"-";"-";"-";"Автомобиль легковой (индивидуальная собственность) ХОНДА ЦРВ";"2680482.81";""
"Министры Республики Коми";"2016";"Бурцев Александр Александрович";"";"";"Квартира";"Долевая, 1/2";"32.700000000000003";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бурцев Александр Александрович";"";"";"Гараж";"Индивидуальная";"20.399999999999999";"Россия";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Бурцев Александр Александрович";"Супруга";"";"Квартира";"Долевая, 1/3";"69.400000000000006";"Россия";"-";"-";"-";"";"725685.49";""
"Министры Республики Коми";"2016";"Бурцев Александр Александрович";"Супруга";"";"";"";"";"";"";"";"";"";"";""
"Министры Республики Коми";"2016";"Емельянов Сергей Витальевич";"";"министр культуры, туризма и архивного дела Республики Коми";"-";"-";"-";"-";"Квартира";"43.5";"Россия";"";"1367150.79";""
"Министры Республики Коми";"2016";"Емельянов Сергей Витальевич";"";"";"";"";"";"";"Квартира";"47.9";"Россия";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"";"министр юстиции Республики Коми";"Квартира";"Индивидуальная";"39.5";"Россия";"Земельный участок";"2000";"Россия";"Автомобиль легковой (индивидуальная собственность) Ситроен С4";"2745804.51";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"";"";"";"";"";"";"Квартира";"44.8";"Россия";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"";"";"";"";"";"";"Квартира";"91";"Черногория";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"";"";"";"";"";"";"Квартира";"78";"Россия";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Супруга";"";"Квартира";"Индивидуальная";"91";"Черногория";"Земельный участок";"2000";"Россия";"";"140402.10999999999";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Супруга";"";"";"";"";"";"Квартира";"39.5";"Россия";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Земельный участок";"2000";"Россия";"";"-";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"";"";"";"";"Квартира";"44.8";"Россия";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"";"";"";"";"Квартира";"91";"Черногория";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"";"";"";"";"Квартира";"39.5";"Россия";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Земельный участок";"2000";"Россия";"";"-";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"";"";"";"";"Квартира";"91";"Черногория";"";"";""
"Министры Республики Коми";"2016";"Наумов Дмитрий Александрович";"Несовершеннолетний ребенок";"";"";"";"";"";"Квартира";"39.5";"Россия";"";"";""
"Министры Республики Коми";"2016";"Порядин Михаил Юрьевич";"";"Руководитель Администрации Республики Коми";"Земельный участок";"Индивидуальная";"1500";"Россия";"Квартира Квартира";"59.2";"Россия Россия";"Автомобиль легковой (индивидуальная собственность) Порше Кайен GTS";"3179366.68";""
